pmcid,filename,gold_facts,pred_facts,tp,fp_in_gold,fn,extra_predictions,precision,recall,f1
115849,115849_direct.jsonl,42,50,42,0,0,8,1.0,1.0,1.0
1475568,1475568_direct.jsonl,52,56,50,0,2,6,1.0,0.9615384615384616,0.9803921568627451
1574360,1574360_direct.jsonl,12,6,2,4,10,0,0.3333333333333333,0.16666666666666666,0.2222222222222222
1863515,1863515_direct.jsonl,24,21,9,12,15,0,0.42857142857142855,0.375,0.39999999999999997
2363753,2363753_direct.jsonl,14,16,12,2,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571
2430617,2430617_direct.jsonl,10,10,10,0,0,0,1.0,1.0,1.0
2596788,2596788_direct.jsonl,4,4,2,2,2,0,0.5,0.5,0.5
2667135,2667135_direct.jsonl,16,16,15,1,1,0,0.9375,0.9375,0.9375
2836833,2836833_direct.jsonl,8,12,0,4,8,8,0.0,0.0,0.0
547916,547916_direct.jsonl,6,2,2,0,4,0,1.0,0.3333333333333333,0.5
