pmcid,filename,gold_facts,pred_facts,tp,fp_in_gold,fn,extra_predictions,precision,recall,f1
115849,115849_direct.jsonl,42,50,42,0,0,8,1.0,1.0,1.0
1475568,1475568_direct.jsonl,52,50,40,10,12,0,0.8,0.7692307692307693,0.7843137254901961
1574360,1574360_direct.jsonl,12,12,7,5,5,0,0.5833333333333334,0.5833333333333334,0.5833333333333334
1863515,1863515_direct.jsonl,24,18,6,12,18,0,0.3333333333333333,0.25,0.28571428571428575
2363753,2363753_direct.jsonl,14,16,12,2,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571
2430617,2430617_direct.jsonl,10,10,10,0,0,0,1.0,1.0,1.0
2596788,2596788_direct.jsonl,4,4,4,0,0,0,1.0,1.0,1.0
2667135,2667135_direct.jsonl,16,16,15,1,1,0,0.9375,0.9375,0.9375
2836833,2836833_direct.jsonl,8,12,0,4,8,8,0.0,0.0,0.0
547916,547916_direct.jsonl,6,6,6,0,0,0,1.0,1.0,1.0
