pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,intervention_rate,comparator_rate,source_file
2681019,Adiponectin in women,Red wine,Control,continuous,,12.0,,12.0,,,,,,,2681019_zeroshot.jsonl
2681019,Adiponectin in men,Ethanol solution,Control,continuous,,12.0,,12.0,,,,,,,2681019_zeroshot.jsonl
2681019,Adiponectin in men,Beer,Control,continuous,,12.0,,12.0,,,,,,,2681019_zeroshot.jsonl
3276927,relieving factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,effective in the treatment of reversible inguinal hernia,post-Yoga,pre-Yoga,binary,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,frequency of occurrence in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,"symptoms of hernia such as heaviness, fullness and pain",post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,pain in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,aggravating factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3580751,mean ± SD length of hospital stay between periods 1 and 2 in patients who did not suffer from VAP,Interrupted surveillance unit A,"Continuous surveillance, unit B",continuous,,,,,9.9,14.8,9.1,9.9,,,3580751_zeroshot.jsonl
3751573,improvement in nursing,phase I externship program,phase II corporate-academic cooperation program,continuous,,19.0,,23.0,117.63,19.01,158.52,23.19,,,3751573_zeroshot.jsonl
