pmcid,filename,gold_fields,pred_fields,tp,fp,fn,tn,precision,recall,f1
115849,115849_fewshot.jsonl,62,110,62,48,0,122,0.5636363636363636,1.0,0.7209302325581396
1475568,1475568_fewshot.jsonl,52,56,45,6,7,62,0.8823529411764706,0.8653846153846154,0.8737864077669903
1574360,1574360_fewshot.jsonl,12,8,6,0,6,4,1.0,0.5,0.6666666666666666
1863515,1863515_fewshot.jsonl,24,24,6,0,18,24,1.0,0.25,0.4
2363753,2363753_fewshot.jsonl,14,16,12,2,2,16,0.8571428571428571,0.8571428571428571,0.8571428571428571
2430617,2430617_fewshot.jsonl,12,12,12,0,0,12,1.0,1.0,1.0
2596788,2596788_fewshot.jsonl,4,4,4,0,0,4,1.0,1.0,1.0
2667135,2667135_fewshot.jsonl,16,16,15,0,1,16,1.0,0.9375,0.967741935483871
2836833,2836833_fewshot.jsonl,8,16,0,8,8,16,0.0,0.0,0.0
547916,547916_fewshot.jsonl,6,6,2,0,4,2,1.0,0.3333333333333333,0.5
