pmcid,filename,gold_fields,pred_fields,tp,fp,fn,tn,precision,recall,f1,mse,rmse,num_mse_comparisons,exact_match_accuracy,exact_match_correct,exact_match_total,exact_match_binary_correct,exact_match_binary_total,exact_match_continuous_correct,exact_match_continuous_total
1216327,1216327_fewshot.jsonl,16,16,15,0,1,8,1.0,0.9375,0.967741935483871,2.480625,1.575,16,0.6666666666666666,2,3,0,0,2,3
2681019,2681019_fewshot.jsonl,12,12,11,0,1,12,1.0,0.9166666666666666,0.9565217391304348,0.017499999999999905,0.13228756555322918,12,0.0,0,3,0,0,0,3
3276927,3276927_fewshot.jsonl,12,20,12,8,0,28,0.6,1.0,0.7499999999999999,0.0,0.0,12,0.0,0,0,0,0,0,0
3580751,3580751_fewshot.jsonl,6,4,4,0,2,2,1.0,0.6666666666666666,0.8,0.0,0.0,4,0.0,0,1,0,0,0,1
3751573,3751573_fewshot.jsonl,6,6,6,0,0,2,1.0,1.0,1.0,0.0,0.0,6,1.0,1,1,0,0,1,1
4450164,4450164_fewshot.jsonl,4,2,0,0,4,4,0.0,0.0,0.0,82.0,9.055385138137417,2,0.0,0,1,0,1,0,0
5244530,5244530_fewshot.jsonl,20,24,18,6,2,30,0.75,0.9,0.8181818181818182,0.0,0.0,18,0.6666666666666666,2,3,2,3,0,0
5498715,5498715_fewshot.jsonl,90,90,24,0,66,30,1.0,0.26666666666666666,0.4210526315789474,1794.4186111111117,42.36057850302698,90,0.0,0,15,0,0,0,15
5771543,5771543_fewshot.jsonl,16,16,16,0,0,16,1.0,1.0,1.0,0.0,0.0,16,1.0,4,4,4,4,0,0
57750,57750_fewshot.jsonl,0,4,0,4,0,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0
