pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,intervention_rate,comparator_rate,source_file
1216327,The mean body weight gain,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,50.6,,-7.0,,,,1216327_fewshot.jsonl
1216327,The duration of the illness,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,47.5,38.9,26.5,27.4,,,1216327_fewshot.jsonl
1216327,The fecal losses,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,3.59,2.35,2.19,1.63,,,1216327_fewshot.jsonl
2681019,Adiponectin in women,Red wine,Control,continuous,,24.0,,24.0,29.8,,0.0,,,,2681019_fewshot.jsonl
2681019,Adiponectin in men,Ethanol solution,Control,continuous,,24.0,,24.0,17.4,,0.0,,,,2681019_fewshot.jsonl
2681019,Adiponectin in men,Beer,Control,continuous,,24.0,,24.0,16.1,,0.0,,,,2681019_fewshot.jsonl
3276927,relieving factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_fewshot.jsonl
3276927,effective in the treatment of reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_fewshot.jsonl
3276927,frequency of occurrence in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_fewshot.jsonl
3276927,"symptoms of hernia such as heaviness, fullness and pain",post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_fewshot.jsonl
3276927,pain in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_fewshot.jsonl
3276927,aggravating factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_fewshot.jsonl
3580751,mean ± SD length of hospital stay between periods 1 and 2 in patients who did not suffer from VAP,Interrupted surveillance unit A,"Continuous surveillance, unit B",continuous,,,,,,,,,,,3580751_fewshot.jsonl
