pmcid,filename,gold_fields,pred_fields,tp,fp,fn,tn,precision,recall,f1,per_field_metrics
115849,115849_zeroshot.jsonl,62,104,44,60,18,110,0.4230769230769231,0.7096774193548387,0.5301204819277108,"{'intervention_group_size': {'tp': 20, 'tn': 0, 'fp': 0, 'fn': 9, 'precision': 1.0, 'recall': 0.6896551724137931, 'f1': 0.8163265306122449}, 'comparator_group_size': {'tp': 20, 'tn': 0, 'fp': 0, 'fn': 9, 'precision': 1.0, 'recall': 0.6896551724137931, 'f1': 0.8163265306122449}, 'intervention_events': {'tp': 2, 'tn': 21, 'fp': 6, 'fn': 0, 'precision': 0.25, 'recall': 1.0, 'f1': 0.4}, 'comparator_events': {'tp': 2, 'tn': 21, 'fp': 6, 'fn': 0, 'precision': 0.25, 'recall': 1.0, 'f1': 0.4}, 'intervention_mean': {'tp': 0, 'tn': 17, 'fp': 12, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 17, 'fp': 12, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 17, 'fp': 12, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 17, 'fp': 12, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
1216327,1216327_zeroshot.jsonl,16,16,15,0,1,8,1.0,0.9375,0.967741935483871,"{'intervention_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_mean': {'tp': 2, 'tn': 0, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.6666666666666666, 'f1': 0.8}, 'intervention_standard_deviation': {'tp': 2, 'tn': 1, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_standard_deviation': {'tp': 2, 'tn': 1, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}"
1475568,1475568_zeroshot.jsonl,52,48,44,4,8,64,0.9166666666666666,0.8461538461538461,0.8799999999999999,"{'intervention_group_size': {'tp': 12, 'tn': 0, 'fp': 0, 'fn': 3, 'precision': 1.0, 'recall': 0.8, 'f1': 0.888888888888889}, 'comparator_group_size': {'tp': 12, 'tn': 0, 'fp': 0, 'fn': 3, 'precision': 1.0, 'recall': 0.8, 'f1': 0.888888888888889}, 'intervention_events': {'tp': 8, 'tn': 7, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_events': {'tp': 8, 'tn': 7, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_mean': {'tp': 2, 'tn': 10, 'fp': 2, 'fn': 1, 'precision': 0.5, 'recall': 0.6666666666666666, 'f1': 0.5714285714285715}, 'comparator_mean': {'tp': 2, 'tn': 10, 'fp': 2, 'fn': 1, 'precision': 0.5, 'recall': 0.6666666666666666, 'f1': 0.5714285714285715}, 'intervention_standard_deviation': {'tp': 0, 'tn': 15, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 15, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
1574360,1574360_zeroshot.jsonl,12,6,4,0,8,4,1.0,0.3333333333333333,0.5,"{'intervention_group_size': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_group_size': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_events': {'tp': 0, 'tn': 2, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 2, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 2, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_mean': {'tp': 2, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
1863515,1863515_zeroshot.jsonl,24,24,6,0,18,24,1.0,0.25,0.4,"{'intervention_group_size': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 6, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_group_size': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 6, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_events': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 3, 'precision': 1.0, 'recall': 0.5, 'f1': 0.6666666666666666}, 'comparator_mean': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 3, 'precision': 1.0, 'recall': 0.5, 'f1': 0.6666666666666666}, 'intervention_standard_deviation': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 6, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
2363753,2363753_zeroshot.jsonl,14,16,12,2,2,16,0.8571428571428571,0.8571428571428571,0.8571428571428571,"{'intervention_group_size': {'tp': 4, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 4, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 2, 'tn': 1, 'fp': 1, 'fn': 0, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8}, 'comparator_mean': {'tp': 2, 'tn': 1, 'fp': 1, 'fn': 0, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8}, 'intervention_standard_deviation': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
2430617,2430617_zeroshot.jsonl,12,12,8,0,4,12,1.0,0.6666666666666666,0.8,"{'intervention_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 1, 'tn': 0, 'fp': 0, 'fn': 2, 'precision': 1.0, 'recall': 0.3333333333333333, 'f1': 0.5}, 'comparator_events': {'tp': 1, 'tn': 0, 'fp': 0, 'fn': 2, 'precision': 1.0, 'recall': 0.3333333333333333, 'f1': 0.5}, 'intervention_mean': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
2596788,2596788_zeroshot.jsonl,4,4,3,0,1,4,1.0,0.75,0.8571428571428571,"{'intervention_group_size': {'tp': 1, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 1, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 0, 'tn': 1, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 1, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 1, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_mean': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 1, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 1, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
2667135,2667135_zeroshot.jsonl,16,16,15,0,1,16,1.0,0.9375,0.967741935483871,"{'intervention_group_size': {'tp': 4, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 4, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 4, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_events': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.75, 'f1': 0.8571428571428571}, 'intervention_mean': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_mean': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 4, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
2681019,2681019_zeroshot.jsonl,12,12,8,0,4,12,1.0,0.6666666666666666,0.8,"{'intervention_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'comparator_group_size': {'tp': 3, 'tn': 0, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'intervention_events': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_events': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_mean': {'tp': 2, 'tn': 0, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.6666666666666666, 'f1': 0.8}, 'comparator_mean': {'tp': 0, 'tn': 0, 'fp': 0, 'fn': 3, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'intervention_standard_deviation': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'comparator_standard_deviation': {'tp': 0, 'tn': 3, 'fp': 0, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
