pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,intervention_rate,comparator_rate,source_file
115849,Discontinuation due to lack of efficacy,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,binary,44.0,353.0,19.0,181.0,,,,,,,115849_zeroshot.jsonl
115849,Patient global assessment of disease activity,etoricoxib 90 mg once daily,placebo,continuous,,353.0,,357.0,66.0,20.0,65.0,19.0,,,115849_zeroshot.jsonl
115849,investigator global assessment of disease activity,etoricoxib 90 mg once daily,placebo,continuous,,353.0,,357.0,2.7,0.7,2.7,0.6,,,115849_zeroshot.jsonl
115849,Tender joint count,etoricoxib 90 mg once daily,placebo,continuous,,353.0,,357.0,29.0,15.0,29.0,15.0,,,115849_zeroshot.jsonl
115849,Swollen joint count,etoricoxib 90 mg once daily,placebo,continuous,,353.0,,357.0,19.0,13.0,19.0,12.0,,,115849_zeroshot.jsonl
115849,Patient global assessment of pain,etoricoxib 90 mg once daily,placebo,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,Health Assessment Questionnaire disability,etoricoxib 90 mg once daily,placebo,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,Serum C-reactive protein,etoricoxib 90 mg once daily,placebo,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,ACR20 responder criteria,etoricoxib 90 mg once daily,placebo,binary,207.0,353.0,146.0,357.0,,,,,,,115849_zeroshot.jsonl
115849,Discontinuation due to lack of efficacy,etoricoxib 90 mg once daily,placebo,binary,44.0,353.0,90.0,357.0,,,,,,,115849_zeroshot.jsonl
115849,Patient global assessment of disease activity,naproxen 500 mg twice daily,placebo,continuous,,181.0,,357.0,65.0,19.0,65.0,19.0,,,115849_zeroshot.jsonl
115849,investigator global assessment of disease activity,naproxen 500 mg twice daily,placebo,continuous,,181.0,,357.0,2.7,0.6,2.7,0.6,,,115849_zeroshot.jsonl
115849,Tender joint count,naproxen 500 mg twice daily,placebo,continuous,,181.0,,357.0,28.0,15.0,29.0,15.0,,,115849_zeroshot.jsonl
115849,Swollen joint count,naproxen 500 mg twice daily,placebo,continuous,,181.0,,357.0,18.0,12.0,19.0,12.0,,,115849_zeroshot.jsonl
115849,Patient global assessment of pain,naproxen 500 mg twice daily,placebo,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,Health Assessment Questionnaire disability,naproxen 500 mg twice daily,placebo,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,Serum C-reactive protein,naproxen 500 mg twice daily,placebo,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,ACR20 responder criteria,naproxen 500 mg twice daily,placebo,binary,104.0,181.0,146.0,357.0,,,,,,,115849_zeroshot.jsonl
115849,Discontinuation due to lack of efficacy,naproxen 500 mg twice daily,placebo,binary,19.0,181.0,90.0,357.0,,,,,,,115849_zeroshot.jsonl
115849,Patient global assessment of disease activity,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,continuous,,353.0,,181.0,66.0,20.0,65.0,19.0,,,115849_zeroshot.jsonl
115849,investigator global assessment of disease activity,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,continuous,,353.0,,181.0,2.7,0.7,2.7,0.6,,,115849_zeroshot.jsonl
115849,Tender joint count,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,continuous,,353.0,,181.0,29.0,15.0,28.0,15.0,,,115849_zeroshot.jsonl
115849,Swollen joint count,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,continuous,,353.0,,181.0,19.0,13.0,18.0,12.0,,,115849_zeroshot.jsonl
115849,Patient global assessment of pain,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,Health Assessment Questionnaire disability,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,Serum C-reactive protein,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,continuous,,,,,,,,,,,115849_zeroshot.jsonl
115849,ACR20 responder criteria,etoricoxib 90 mg once daily,naproxen 500 mg twice daily,binary,207.0,353.0,104.0,181.0,,,,,,,115849_zeroshot.jsonl
115849,patients discontinued due to lack of efficacy,etoricoxib 90 mg once daily,placebo,binary,44.0,353.0,90.0,357.0,,,,,,,115849_zeroshot.jsonl
115849,patients discontinued due to lack of efficacy,naproxen 500 mg twice daily,placebo,binary,19.0,181.0,90.0,357.0,,,,,,,115849_zeroshot.jsonl
1216327,The mean body weight gain,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,50.6,,-7.0,,,,1216327_zeroshot.jsonl
1216327,The duration of the illness,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,47.5,38.9,26.5,27.4,,,1216327_zeroshot.jsonl
1216327,The fecal losses,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,3.59,2.35,2.19,1.63,,,1216327_zeroshot.jsonl
1475568,Minnesota living with heart failure (MLHF) questionnaire baseline scores,Follow-up and thorough education on self-care,Standard information about self-care,continuous,,59.0,,64.0,45.0,,57.0,,,,1475568_zeroshot.jsonl
1475568,Heart failure-related quality of life at the end of treatment,Follow-up and thorough education on self-care,Standard information about self-care,continuous,,,,,,,,,,,1475568_zeroshot.jsonl
1475568,Baseline hypertension,Follow-up and thorough education on self-care,Standard information about self-care,binary,51.0,59.0,57.0,64.0,,,,,,,1475568_zeroshot.jsonl
1475568,Baseline diabetes,Follow-up and thorough education on self-care,Standard information about self-care,binary,35.0,59.0,33.0,64.0,,,,,,,1475568_zeroshot.jsonl
1475568,Baseline life-quality score,Follow-up and thorough education on self-care,Standard information about self-care,continuous,,59.0,,64.0,45.0,,57.0,,,,1475568_zeroshot.jsonl
1475568,Knowledge about heart failure,Follow-up and thorough education on self-care,Standard information about self-care,continuous,,59.0,,64.0,55.0,,57.0,,,,1475568_zeroshot.jsonl
1475568,Baseline beta-blockers intake,Follow-up and thorough education on self-care,Standard information about self-care,binary,32.0,59.0,46.0,64.0,,,,,,,1475568_zeroshot.jsonl
1475568,Self-efficacy,Follow-up and thorough education on self-care,Standard information about self-care,continuous,,59.0,,64.0,22.0,,22.0,,,,1475568_zeroshot.jsonl
1475568,Baseline systolic dysfunction,Follow-up and thorough education on self-care,Standard information about self-care,binary,23.0,59.0,28.0,64.0,,,,,,,1475568_zeroshot.jsonl
1475568,Baseline angiotensin II receptor blockers (ARBs) intake,Follow-up and thorough education on self-care,Standard information about self-care,binary,,,,,,,,,,,1475568_zeroshot.jsonl
1475568,Baseline digoxin intake,Follow-up and thorough education on self-care,Standard information about self-care,binary,15.0,59.0,12.0,64.0,,,,,,,1475568_zeroshot.jsonl
1475568,Baseline angiotensin-converting enzyme (ACE) inhibitors intake,Follow-up and thorough education on self-care,Standard information about self-care,binary,,,,,,,,,,,1475568_zeroshot.jsonl
1475568,Hospitalization or death,Follow-up and thorough education on self-care,Standard information about self-care,binary,25.0,59.0,39.0,64.0,,,,,,,1475568_zeroshot.jsonl
1475568,Daily weight monitoring at the end of treatment,Follow-up and thorough education on self-care,Standard information about self-care,binary,47.0,59.0,19.0,64.0,,,,,,,1475568_zeroshot.jsonl
1475568,Cardiac-related hospitalization,Follow-up and thorough education on self-care,Standard information about self-care,binary,20.0,59.0,25.0,64.0,,,,,,,1475568_zeroshot.jsonl
1574360,The amount of saturated fat in the foods purchased,fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat,control received general non-specific advice about how to eat a diet lower in saturated fat,continuous,,246.0,,251.0,0.77,,0.04,,,,1574360_zeroshot.jsonl
1574360,the average cost of the food,fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat,control received general non-specific advice about how to eat a diet lower in saturated fat,continuous,,,,,0.63,,0.62,,,,1574360_zeroshot.jsonl
1863515,haemoglobin level between 26 and 35 wk,Zidovudine prophylaxis initiation,placebo,continuous,,769.0,,667.0,10.7,,11.2,,,,1863515_zeroshot.jsonl
1863515,leucocyte count between 26 and 35 wk,Zidovudine prophylaxis initiation,placebo,continuous,,769.0,,667.0,8818.0,,8362.0,,,,1863515_zeroshot.jsonl
1863515,absolute neutrophil count between 26 and 35 wk,Zidovudine prophylaxis initiation,placebo,continuous,,769.0,,667.0,5639.0,,6150.0,,,,1863515_zeroshot.jsonl
1863515,haemoglobin level at 35 wk gestation,Zidovudine prophylaxis initiation,placebo,continuous,,739.0,,638.0,10.7,,11.2,,,,1863515_zeroshot.jsonl
1863515,leucocyte count at 35 wk gestation,Zidovudine prophylaxis initiation,placebo,continuous,,739.0,,632.0,8818.0,,8362.0,,,,1863515_zeroshot.jsonl
1863515,absolute neutrophil count at 35 wk gestation,Zidovudine prophylaxis initiation,placebo,continuous,,739.0,,632.0,5639.0,,6150.0,,,,1863515_zeroshot.jsonl
2363753,Days with fever,Amifostine,Control,continuous,,20.0,,20.0,2.0,,4.0,,,,2363753_zeroshot.jsonl
2363753,Hospital stay,Amifostine,Control,continuous,,20.0,,20.0,16.0,,18.0,,,,2363753_zeroshot.jsonl
2363753,Grade III/IV stomatitis,Amifostine,Control,binary,5.0,20.0,10.0,20.0,,,,,,,2363753_zeroshot.jsonl
2363753,Glomerular filtration rate fall,Amifostine,Control,continuous,,20.0,,20.0,10.0,,37.0,,,,2363753_zeroshot.jsonl
2430617,HBeAg sero-conversion rate,60 µg of immune complexes (YIC),placebo,binary,17.0,78.0,7.0,78.0,,,,,,,2430617_zeroshot.jsonl
2430617,adverse events,30 µg YIC,placebo,binary,76.0,83.0,69.0,79.0,,,,,,,2430617_zeroshot.jsonl
2430617,adverse events,60 µg of YIC,placebo,binary,74.0,80.0,69.0,79.0,,,,,,,2430617_zeroshot.jsonl
2596788,GERD-knowledge,education,control,continuous,,102.0,,109.0,17.0,,13.4,,,,2596788_zeroshot.jsonl
2667135,proportion of patients completed therapy,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,93.0,103.0,44.0,97.0,,,,,,,2667135_zeroshot.jsonl
2667135,early discontinuations,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,10.0,103.0,53.0,97.0,,,,,,,2667135_zeroshot.jsonl
2667135,rate of clinical success at the test-of-cure visit,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,89.0,103.0,54.0,97.0,,,,,,,2667135_zeroshot.jsonl
2667135,deaths,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,4.0,103.0,18.0,97.0,,,,,,,2667135_zeroshot.jsonl
2681019,Adiponectin in women,Red wine,Control,continuous,,24.0,,24.0,29.8,,0.0,,,,2681019_zeroshot.jsonl
2681019,Adiponectin in men,Ethanol solution,Control,continuous,,24.0,,24.0,17.4,,0.0,,,,2681019_zeroshot.jsonl
2681019,Adiponectin in men,Beer,Control,continuous,,24.0,,24.0,16.1,,0.0,,,,2681019_zeroshot.jsonl
2836833,Fecal fat loss,1500 mg calcium,500 mg calcium,continuous,,34.0,,34.0,10.35,1.8,7.35,1.75,,,2836833_zeroshot.jsonl
2836833,weight loss,1500 mg calcium,500 mg calcium,continuous,,,,,,,,,,,2836833_zeroshot.jsonl
2836833,systolic or diastolic blood pressure,1500 mg calcium,500 mg calcium,continuous,,,,,,,,,,,2836833_zeroshot.jsonl
2836833,Urinary calcium excretion,1500 mg calcium,500 mg calcium,continuous,,34.0,,34.0,146.4,77.9,128.3,57.9,,,2836833_zeroshot.jsonl
2952311,Verbal rating scale pain intensity,Acupressure at distal points,Control,continuous,,11.0,,11.0,1.7,0.8,1.8,0.6,,,2952311_zeroshot.jsonl
2952311,Verbal rating scale pain intensity,Acupressure at local points,Control,continuous,,11.0,,11.0,2.1,0.5,1.8,0.6,,,2952311_zeroshot.jsonl
2952311,State-Trait Anxiety Inventory-I,Acupressure at local points,Control,continuous,,11.0,,11.0,44.5,8.0,39.2,9.5,,,2952311_zeroshot.jsonl
2952311,Salivary alpha-amylase,Acupressure at distal points,Acupressure at local points,continuous,,11.0,,11.0,36.8,27.9,20.0,9.0,,,2952311_zeroshot.jsonl
2952311,Muscle hardness,Acupressure at local points,Control,continuous,,11.0,,11.0,57.4,4.5,56.9,5.0,,,2952311_zeroshot.jsonl
2952311,State-Trait Anxiety Inventory-I,Acupressure at distal points,Control,continuous,,11.0,,11.0,43.2,6.8,39.2,9.5,,,2952311_zeroshot.jsonl
2972614,Adverse effects,Laser therapy (Group I),Placebo laser therapy (Group II),binary,0.0,30.0,0.0,22.0,,,,,,,2972614_zeroshot.jsonl
2972614,Severity of pain,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,3.76,1.45,4.63,2.1,,,2972614_zeroshot.jsonl
2972614,Shoulder Pain and Disability Index score,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,44.33,2.8,36.39,20.53,,,2972614_zeroshot.jsonl
2972614,Laboratory parameters,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,,,,,,,,,,2972614_zeroshot.jsonl
2972614,Motion range - Shoulder flexion,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,168.0,22.65,174.31,14.98,,,2972614_zeroshot.jsonl
2972614,Motion range - Shoulder extension,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,42.66,3.4,42.95,3.98,,,2972614_zeroshot.jsonl
2972614,Motion range - Shoulder abduction,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,166.66,21.38,172.72,16.67,,,2972614_zeroshot.jsonl
2972614,Motion range - Shoulder adduction,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,42.0,4.27,42.04,5.26,,,2972614_zeroshot.jsonl
2972614,Motion range - Shoulder internal rotation,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,49.33,9.62,49.77,4.49,,,2972614_zeroshot.jsonl
2972614,Motion range - Shoulder external rotation,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30.0,,22.0,44.83,5.64,44.09,1.97,,,2972614_zeroshot.jsonl
2974815,discontinued treatment,phone calls group,no phone calls group,binary,4.0,108.0,30.0,246.0,,,,,,,2974815_zeroshot.jsonl
2974815,The percentage of patients with controlled blood pressure (<140/90 mmHg),phone calls group,no phone calls group,binary,86.0,108.0,175.0,246.0,,,,,,,2974815_zeroshot.jsonl
2974815,percentage of patients with controlled blood pressure,phone calls group,no phone calls group,binary,86.0,108.0,175.0,246.0,,,,,,,2974815_zeroshot.jsonl
3003523,Short-Form 36-Items improvement,Certolizumab 200 mg,Control,continuous,,393.0,,199.0,6.4,0.6,2.1,0.8,,,3003523_zeroshot.jsonl
3003523,Short-Form 36-Items improvement,Certolizumab 400 mg,Control,continuous,,390.0,,199.0,6.4,0.6,2.1,0.8,,,3003523_zeroshot.jsonl
3003523,Pain,Certolizumab 400 mg,Control,continuous,,390.0,,199.0,-2.5,,-0.8,,,,3003523_zeroshot.jsonl
3003523,Health-related quality of life improvement - Short-Form 36-Items improvement,Certolizumab 200 mg,Control,continuous,,393.0,,199.0,7.8,0.4,1.7,0.6,,,3003523_zeroshot.jsonl
3003523,Mental Component Summary improvement,Certolizumab 400 mg,Control,continuous,,390.0,,199.0,6.4,0.6,2.1,0.8,,,3003523_zeroshot.jsonl
3003523,Fatigue Assessment Scale improvement,Certolizumab 200 mg,Control,continuous,,393.0,,199.0,-2.6,,-0.8,,,,3003523_zeroshot.jsonl
3136370,Fibromyalgia Impact Questionnaire scores,Soy shake,Control,continuous,,25.0,,25.0,,,,,,,3136370_zeroshot.jsonl
3136370,Fibromyalgia Impact Questionnaire scores,Soy shake,Casein shake (Placebo),continuous,,25.0,,25.0,,,,,,,3136370_zeroshot.jsonl
3136370,Center for Epidemiologic Studies Depression Scale score,Soy shake,Control,continuous,,25.0,,25.0,,,,,,,3136370_zeroshot.jsonl
3136370,Center for Epidemiologic Studies Depression Scale score,Soy shake,Casein shake (Placebo),continuous,,25.0,,25.0,,,,,,,3136370_zeroshot.jsonl
3169777,adverse event profile - headache,macitentan dose of 600 mg,placebo,binary,5.0,6.0,3.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,unexpected adverse events,macitentan doses of 0.2 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,unexpected adverse events,macitentan doses of 1 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,unexpected adverse events,macitentan doses of 5 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,unexpected adverse events,macitentan doses of 25 mg,placebo,binary,0.0,6.0,0.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,unexpected adverse events,macitentan doses of 100 mg,placebo,binary,1.0,6.0,1.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,unexpected adverse events,macitentan doses of 300 mg,placebo,binary,0.0,6.0,1.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,unexpected adverse events,macitentan doses of 600 mg,placebo,binary,0.0,6.0,1.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,adverse event profile - headache,macitentan doses of 0.2 mg,placebo,binary,0.0,6.0,3.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,adverse event profile - headache,macitentan doses of 1 mg,placebo,binary,0.0,6.0,3.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,adverse event profile - headache,macitentan doses of 5 mg,placebo,binary,0.0,6.0,3.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,adverse event profile - headache,macitentan doses of 25 mg,placebo,binary,2.0,6.0,3.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,adverse event profile - headache,macitentan doses of 100 mg,placebo,binary,1.0,6.0,3.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,adverse event profile - headache,macitentan doses of 300 mg,placebo,binary,3.0,6.0,3.0,14.0,,,,,,,3169777_zeroshot.jsonl
3169777,Plasma endothelin-1 concentrations,macitentan dose of 600 mg,placebo,continuous,,6.0,,14.0,200.0,,90.0,,,,3169777_zeroshot.jsonl
3195393,Continuous restraint,After restraint reduction program,Before restraint reduction program,continuous,,562.0,,463.0,8.5,0.07,10.8,0.13,,,3195393_zeroshot.jsonl
3195393,Restraint frecuency,After restraint reduction program,Before restraint reduction program,continuous,,562.0,,463.0,13.6,,11.5,,,,3195393_zeroshot.jsonl
3195393,Intermittent restraint,After restraint reduction program,Before restraint reduction program,continuous,,562.0,,463.0,5.1,0.07,0.7,0.02,,,3195393_zeroshot.jsonl
3195393,Restraint knowledge,After restraint reduction program,Before restraint reduction program,continuous,,89.0,,97.0,6.23,,5.51,,,,3195393_zeroshot.jsonl
3214395,laryngoscopy duration,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 45",group 3 involved bispectral index (BIS) of 35,continuous,,60.0,,30.0,7.4,1.1,7.2,1.4,,,3214395_zeroshot.jsonl
3214395,laryngospasm,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 46",group 3 involved bispectral index (BIS) of 36,binary,11.0,60.0,3.0,30.0,,,,,,,3214395_zeroshot.jsonl
3214395,bronchospasm,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 47",group 3 involved bispectral index (BIS) of 37,binary,1.0,60.0,0.0,30.0,,,,,,,3214395_zeroshot.jsonl
3214395,laryngoscopy failure,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 48",group 3 involved bispectral index (BIS) of 38,binary,,60.0,,30.0,,,,,,,3214395_zeroshot.jsonl
3214395,extremity movement,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 49",group 3 involved bispectral index (BIS) of 39,binary,16.0,60.0,9.0,30.0,,,,,,,3214395_zeroshot.jsonl
3214395,awakening,"group 1 included bispectral index (BIS) of 60, group 2 covered bispectral index (BIS) of 50",group 3 involved bispectral index (BIS) of 40,continuous,,60.0,,30.0,8.75,1.3,8.8,1.6,,,3214395_zeroshot.jsonl
3263860,HbA1c reduction,Real-Time Continuous Glucose Monitoring,Control,continuous,,,,,-0.1,0.6,-0.1,0.6,,,3263860_zeroshot.jsonl
3263860,Severe hypoglycemia,Real-Time Continuous Glucose Monitoring,Control,binary,3.0,73.0,5.0,71.0,,,,,,,3263860_zeroshot.jsonl
3263860,Serious skin reactions,Real-Time Continuous Glucose Monitoring,Control,binary,0.0,74.0,0.0,72.0,,,,,,,3263860_zeroshot.jsonl
3263860,Diabetic ketoacidosis,Real-Time Continuous Glucose Monitoring,Control,binary,0.0,74.0,0.0,72.0,,,,,,,3263860_zeroshot.jsonl
3263860,PAID questionnaire fear of hypoglycemia,Real-Time Continuous Glucose Monitoring,Control,continuous,,69.0,,68.0,44.0,17.0,49.0,16.0,,,3263860_zeroshot.jsonl
3276927,relieving factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,3.0,,2.0,,,,3276927_zeroshot.jsonl
3276927,effective in the treatment of reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
